natural	SLWong	LSHK	
a	a	aa	
ain	ai	aai	
au	au	aau	
am	am	aam	
an	an	aan	
ani	aŋ	aang	
iaum	ap	aap	
naiu	at	aat	
aiu	ak	aak	
ua	--	a	
uai	ɐi	ai	
uau	ɐu	au	
uam	ɐm	am	
uan	ɐn	an	
uani	ɐŋ	ang	
uaum	ɐp	ap	
uaui	ɐt	at	
uaiu	ɐk	ak	
e	ɛ	e	
iei	ei	ei	
eu	ɛu	--	
em	ɛm	--	
eni	ɛŋ	eng	
eium	ɛp	--	
eiu	ɛk	ek	
i	i	i	
iu	iu	iu	
im	im	im	
in	in	in	
ieni	iŋ	ing	
ium	ip	ip	
iun	it	it	
ieiu	ik	ik	
o	ɔ	o	
oi	ɔi	oi	
ou	ou	ou	
on	ɔn	on	
oin	ɔŋ	ong	
ioui	ɔt	ot	
oiu	ɔk	ok	
u	u	u	
ui	ui	ui	
un	un	un	
uoin	ʊŋ	ung	
uni	ut	ut	
uoui	ʊk	uk	
oe	œ	oe	
oey	œy	eoi	
oen	œn	eon	
oeun	œŋ	oeng  
oein	œt	eot	
oei	--	oet	
oeou	œk	oek	
y	y	y	
yn	yn	yn	
yni	yt	yt	
nm	m̩	m	
n	n̩	ng	
